time,num_idle,num_serving,num_charging,num_cruising,pass_arrivals,removed_pass
1464799680,2999,2999,2999,2999,0,0
1464799740,2999,2999,2999,2999,0,0
1464799800,2999,2999,2999,2999,0,0
1464799860,2999,2999,2999,2999,0,0
1464799920,2999,2999,2999,2999,0,0
1464799980,2999,2999,2999,2999,0,0
1464800040,2999,2999,2999,2999,0,0
1464800100,2999,2999,2999,2999,0,0
1464800160,2999,2999,2999,2999,0,0
1464800220,2999,2999,2999,2999,0,0
1464800280,2999,2999,2999,2999,0,0
1464800340,2999,2999,2999,2999,0,0
1464800400,2999,2999,2999,2999,0,0
1464800460,2999,2999,2999,2999,0,0
1464800520,2999,2999,2999,2999,0,0
1464800580,2999,2999,2999,2999,0,0
1464800640,2999,2999,2999,2999,0,0
1464800700,2999,2999,2999,2999,0,0
1464800760,2999,2999,2999,2999,0,0
1464800820,2999,2999,2999,2999,0,0
1464800880,2999,2999,2999,2999,0,0
1464800940,2999,2999,2999,2999,0,0
1464801000,2999,2999,2999,2999,0,0
1464801060,2999,2999,2999,2999,0,0
1464801120,2999,2999,2999,2999,0,0
1464801180,2999,2999,2999,2999,0,0
1464801240,2999,2999,2999,2999,0,0
1464801300,2999,2999,2999,2999,0,0
1464801360,2999,2999,2999,2999,0,0
1464801420,2999,2999,2999,2999,0,0
1464801480,2999,2999,2999,2999,0,0
1464801540,2999,2999,2999,2999,0,0
1464801600,2999,2999,2999,2999,0,0
1464801660,2999,2999,2999,2999,0,0
1464801720,2999,2999,2999,2999,0,0
1464801780,2999,2999,2999,2999,0,0
1464801840,2999,2999,2999,2999,0,0
1464801900,2999,2999,2999,2999,0,0
1464801960,2999,2999,2999,2999,0,0
1464802020,2999,2999,2999,2999,0,0
1464802080,2999,2999,2999,2999,0,0
1464802140,2999,2999,2999,2999,0,0
1464802200,2999,2999,2999,2999,0,0
1464802260,2999,2999,2999,2999,0,0
1464802320,2999,2999,2999,2999,0,0
1464802380,2999,2999,2999,2999,0,0
1464802440,2999,2999,2999,2999,0,0
1464802500,2999,2999,2999,2999,0,0
1464802560,2999,2999,2999,2999,0,0
1464802620,2999,2999,2999,2999,0,0
1464802680,2999,2999,2999,2999,0,0
1464802740,2999,2999,2999,2999,0,0
1464802800,2999,2999,2999,2999,0,0
1464802860,2999,2999,2999,2999,0,0
1464802920,2999,2999,2999,2999,0,0
1464802980,2999,2999,2999,2999,0,0
1464803040,2999,2999,2999,2999,0,0
1464803100,2999,2999,2999,2999,0,0
1464803160,2999,2999,2999,2999,0,0
1464803220,2999,2999,2999,2999,0,0
1464803280,2999,2999,2999,2999,0,0
1464803340,2999,2999,2999,2999,0,0
1464803400,2999,2999,2999,2999,0,0
1464803460,2999,2999,2999,2999,0,0
1464803520,2999,2999,2999,2999,0,0
1464803580,2999,2999,2999,2999,0,0
1464803640,2999,2999,2999,2999,0,0
1464803700,2999,2999,2999,2999,0,0
1464803760,2999,2999,2999,2999,0,0
1464803820,2999,2999,2999,2999,0,0
1464803880,2999,2999,2999,2999,0,0
1464803940,2999,2999,2999,2999,0,0
1464804000,2999,2999,2999,2999,0,0
1464804060,2999,2999,2999,2999,0,0
1464804120,2999,2999,2999,2999,0,0
1464804180,2999,2999,2999,2999,0,0
1464804240,2999,2999,2999,2999,0,0
1464804300,2999,2999,2999,2999,0,0
1464804360,2999,2999,2999,2999,0,0
1464804420,2999,2999,2999,2999,0,0
1464804480,2999,2999,2999,2999,0,0
1464804540,2999,2999,2999,2999,0,0
1464804600,2999,2999,2999,2999,0,0
1464804660,2999,2999,2999,2999,0,0
1464804720,2999,2999,2999,2999,0,0
1464804780,2999,2999,2999,2999,0,0
1464804840,2999,2999,2999,2999,0,0
1464804900,2999,2999,2999,2999,0,0
1464804960,2999,2999,2999,2999,0,0
1464805020,2999,2999,2999,2999,0,0
1464805080,2999,2999,2999,2999,0,0
1464805140,2999,2999,2999,2999,0,0
1464805200,2999,2999,2999,2999,0,0
1464805260,2999,2999,2999,2999,0,0
1464805320,2999,2999,2999,2999,0,0
1464805380,2999,2999,2999,2999,0,0
1464805440,2999,2999,2999,2999,0,0
1464805500,2999,2999,2999,2999,0,0
1464805560,2999,2999,2999,2999,0,0
1464805620,2999,2999,2999,2999,0,0
1464805680,2999,2999,2999,2999,0,0
1464805740,2999,2999,2999,2999,0,0
1464805800,2999,2999,2999,2999,0,0
1464805860,2999,2999,2999,2999,0,0
1464805920,2999,2999,2999,2999,0,0
1464805980,2999,2999,2999,2999,0,0
1464806040,2999,2999,2999,2999,0,0
1464806100,2999,2999,2999,2999,0,0
1464806160,2999,2999,2999,2999,0,0
1464806220,2999,2999,2999,2999,0,0
1464806280,2999,2999,2999,2999,0,0
1464806340,2999,2999,2999,2999,0,0
1464806400,2999,2999,2999,2999,0,0
1464806460,2999,2999,2999,2999,0,0
1464806520,2999,2999,2999,2999,0,0
1464806580,2999,2999,2999,2999,0,0
1464806640,2999,2999,2999,2999,0,0
1464806700,2999,2999,2999,2999,0,0
1464806760,2999,2999,2999,2999,0,0
1464806820,2999,2999,2999,2999,0,0
1464806880,2999,2999,2999,2999,0,0
1464806940,2999,2999,2999,2999,0,0
1464807000,2999,2999,2999,2999,0,0
1464807060,2999,2999,2999,2999,0,0
1464807120,2999,2999,2999,2999,0,0
1464807180,2999,2999,2999,2999,0,0
